Date,Rep,Compound,Dilution,Wells,Perimeter,Middle,% in wells,
9/1/16,1,Propyl Butyrate,0,1,1,13,6.67%,
9/1/16,1,Propyl Butyrate,0,2,7,6,13.33%,
9/1/16,1,Propyl Butyrate,0,2,4,9,13.33%,
9/1/16,1,Propyl Butyrate,10^-5,4,3,8,26.67%,
9/1/16,1,Propyl Butyrate,10^-5,1,10,4,6.67%,
9/1/16,1,Propyl Butyrate,10^-5,1,2,12,6.67%,
9/1/16,1,Propyl Butyrate,10^-4,4,10,1,26.67%,
9/1/16,1,Propyl Butyrate,10^-4,1,3,11,6.67%,
9/1/16,1,Propyl Butyrate,10^-4,5,1,9,33.33%,
9/1/16,1,Propyl Butyrate,10^-3,6,4,5,40.00%,
9/1/16,1,Propyl Butyrate,10^-3,2,9,4,13.33%,
9/1/16,1,Propyl Butyrate,10^-3,9,3,3,60.00%,
9/1/16,1,Propyl Butyrate,10^-2,6,3,4,46.15%,
9/1/16,1,Propyl Butyrate,10^-2,12,3,0,80.00%,
9/1/16,1,Propyl Butyrate,10^-2,13,2,0,86.67%,
9/1/16,1,Propyl Butyrate,10^-1,2,12,1,13.33%,
9/1/16,1,Propyl Butyrate,10^-1,4,8,3,26.67%,
9/1/16,1,Propyl Butyrate,10^-1,5,9,1,33.33%,
9/1/16,1,Propyl Butyrate,1,4,5,6,26.67%,
9/1/16,1,Propyl Butyrate,1,4,9,2,26.67%,
9/1/16,1,Propyl Butyrate,1,6,5,4,40.00%,
9/8/16,2,Propyl Butyrate,0,0,8,7,0.00%,
9/8/16,2,Propyl Butyrate,0,4,5,6,26.67%,
9/8/16,2,Propyl Butyrate,0,0,2,13,0.00%,
9/8/16,2,Propyl Butyrate,10^-5,3,8,4,20.00%,
9/8/16,2,Propyl Butyrate,10^-5,2,12,1,13.33%,
9/8/16,2,Propyl Butyrate,10^-5,2,10,3,13.33%,
9/8/16,2,Propyl Butyrate,10^-4,0,4,11,0.00%,
9/8/16,2,Propyl Butyrate,10^-4,5,7,3,33.33%,
9/8/16,2,Propyl Butyrate,10^-4,4,8,3,26.67%,
9/8/16,2,Propyl Butyrate,10^-3,5,9,1,33.33%,
9/8/16,2,Propyl Butyrate,10^-3,4,7,4,26.67%,
9/8/16,2,Propyl Butyrate,10^-3,2,2,11,13.33%,
9/8/16,2,Propyl Butyrate,10^-2,12,3,0,80.00%,
9/8/16,2,Propyl Butyrate,10^-2,3,9,3,20.00%,
9/8/16,2,Propyl Butyrate,10^-2,5,2,8,33.33%,
9/8/16,2,Propyl Butyrate,10^-1,12,3,0,80.00%,
9/8/16,2,Propyl Butyrate,10^-1,4,7,4,26.67%,
9/8/16,2,Propyl Butyrate,10^-1,5,8,2,33.33%,
9/8/16,2,Propyl Butyrate,1,6,9,0,40.00%,
9/8/16,2,Propyl Butyrate,1,1,11,3,6.67%,
9/8/16,2,Propyl Butyrate,1,6,5,4,40.00%,
9/13/16,3,Propyl Butyrate,0,1,2,12,6.67%,
9/13/16,3,Propyl Butyrate,0,0,1,14,0.00%,
9/13/16,3,Propyl Butyrate,0,2,3,10,13.33%,
9/13/16,3,Propyl Butyrate,10^-5,1,1,13,6.67%,
9/13/16,3,Propyl Butyrate,10^-5,0,6,9,0.00%,
9/13/16,3,Propyl Butyrate,10^-5,2,2,11,13.33%,
9/13/16,3,Propyl Butyrate,10^-4,4,8,3,26.67%,
9/13/16,3,Propyl Butyrate,10^-4,2,11,2,13.33%,
9/13/16,3,Propyl Butyrate,10^-4,6,9,0,40.00%,
9/13/16,3,Propyl Butyrate,10^-3,2,11,2,13.33%,
9/13/16,3,Propyl Butyrate,10^-3,8,2,5,53.33%,
9/13/16,3,Propyl Butyrate,10^-3,4,9,2,26.67%,
9/13/16,3,Propyl Butyrate,10^-2,6,8,1,40.00%,
9/13/16,3,Propyl Butyrate,10^-2,8,7,0,53.33%,
9/13/16,3,Propyl Butyrate,10^-2,7,8,0,46.67%,
9/13/16,3,Propyl Butyrate,10^-1,4,11,0,26.67%,
9/13/16,3,Propyl Butyrate,10^-1,9,5,1,60.00%,
9/13/16,3,Propyl Butyrate,10^-1,5,8,2,33.33%,
9/13/16,3,Propyl Butyrate,1,5,8,2,33.33%,
9/13/16,3,Propyl Butyrate,1,3,12,0,20.00%,
9/13/16,3,Propyl Butyrate,1,0,14,1,0.00%,
9/20/16,1,Hexyl Acetate,0,0,2,13,0.00%,
9/20/16,1,Hexyl Acetate,0,0,0,15,0.00%,
9/20/16,1,Hexyl Acetate,0,1,1,13,6.67%,
9/20/16,1,Hexyl Acetate,10^-5,11,0,4,73.33%,
9/20/16,1,Hexyl Acetate,10^-5,2,7,6,13.33%,
9/20/16,1,Hexyl Acetate,10^-5,1,0,14,6.67%,
9/20/16,1,Hexyl Acetate,10^-4,0,14,1,0.00%,
